,Unnamed: 0,zpid,rentZestimate,zestimate,livingArea,bathrooms,bedrooms,yearBuilt,address,city,state,zip,latitude,longitude,square_footage,price_y,census_county_name,beds,baths_full,year_built,propertyTaxRate,pricePerSquareFoot,propertyTypeDimension,taxAnnualAmount,dateSold,pageViewCount,hasAttachedProperty,poolFeatures,flooring,hasGarage,parking,hasWaterfrontView,lotSize,appliances,communityFeatures,propertyCondition,sch_rating_avg,sch_cnt,sch_dist_avg,Individuals_taxed,Income_per_return,Cap_gain,Pension,UE_claims,Social_security,SB_income,Student_loan_ded,RE_taxes,PP_taxes,Child_credit,Earned_Inc_credit,NOI,Expenses,cap_rate,total_appliances,total_community_feat,sch_rating_zip_avg,sch_parentrating_zip_avg,sch_public_no,sch_charter_no,sch_private_no
0,0,2064281489,2175.41,347514.0,2103.0,2.0,4.0,2020.0,101 College Street,Kingsland,Georgia,31548,30.804209,-81.653325,2103,339900,"Camden, GA",4,2.0,2020.0,0.98,162.0,Single Family,3405.6372,5/31/22,0.0,False,,"['Carpet', 'Tile']",True,2.0,,0.45 Acres,"['Some Electric Appliances', 'Dishwasher', 'Disposal', 'Microwave', 'Oven', 'Range', 'Refrigerator']","['Street Lights', 'Sidewalks', 'Walk to School']",,7.333333333333333,3.0,0.7333333333333334,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,26104.92,8626.6212,0.0514218852603706,7.0,3.0,7.2,3.888888888888889,5.0,0.0,10.0
1,2,91030716,2600.0,325200.0,2269.0,3.0,5.0,2004.0,169 School House Creek Drive,Saint Marys,Georgia,31558,30.767365,-81.588272,2269,310000,"Camden, GA",5,3.0,2004.0,0.98,134.0,Single Family,3186.96,5/17/22,6.0,False,,"['Carpet', 'Laminate', 'Vinyl']",True,0.0,,"7,840 sqft","['Dishwasher', 'Oven/Range (Combo)', 'Refrigerator', 'Stainless Steel Appliance(s)']","['Sidewalks', 'Street Lights']",Resale,7.666666666666667,3.0,2.1,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,31200.0,9426.96,0.0702356129032258,4.0,2.0,6.8,3.25,5.0,0.0,3.0
2,4,111242225,1999.0,340500.0,1846.0,2.0,3.0,2004.0,1621 Sandpiper Court,Saint Marys,Georgia,31558,30.746731,-81.633995,1846,315000,"Camden, GA",3,2.0,2004.0,0.98,173.0,Single Family,3336.9,5/13/22,20.0,False,['None'],['Tile'],True,2.0,,"8,276 sqft","['Dryer', 'Dishwasher', 'Disposal', 'Microwave', 'Oven', 'Plumbed For Ice Maker', 'Range', 'Refrigerator', 'Water Softener', 'Washer']","['Boat Facilities', 'Gated', 'Park', 'Street Lights', 'Sidewalks', 'Trails/Paths']",,7.666666666666667,3.0,3.766666666666667,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,23988.0,8134.5,0.0503285714285714,10.0,6.0,6.8,3.25,5.0,0.0,3.0
3,6,2090936200,1999.0,326164.0,1953.0,2.0,3.0,2018.0,346 Laurel Landing Boulevard,Kingsland,Georgia,31548,30.791878,-81.67675,1977,310000,"Camden, GA",3,2.0,2017.0,0.98,,Condo,3196.4072,,0.0,False,,,False,0.0,,,,,,8.0,3.0,2.6,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,23988.0,7994.0072,0.0515935251612903,,,7.2,3.888888888888889,5.0,0.0,10.0
4,8,2064330080,1939.51,365974.43,1835.0,2.0,3.0,2022.0,81 Ossabaw Way,Waverly,Georgia,31565,31.104492,-81.604486,1835,369900,"Camden, GA",3,2.0,2022.0,0.98,202.0,Single Family,3586.549414,8/15/22,5.0,False,,['Tile'],True,2.0,,1.21 Acres,"['Dishwasher', 'Microwave', 'Oven/Range (Combo)', 'Stainless Steel Appliance(s)']","['Clubhouse', 'Gated', 'Golf', 'Lake', 'Fitness Center', 'Pool', 'Street Lights']",New Construction,7.333333333333333,3.0,16.2,1800.0,66.87741935,6.375,32.572,0.0,17.61052632,65.22857143,1.16,4.311111111,0.4,1.936,2.294117647,23274.12,8241.373414,0.0406400286185455,4.0,7.0,,,,,
5,10,76372499,3177.0,51000.0,2557.0,3.0,4.0,1998.0,706 Cinnamon Fern Trail,Saint Marys,Georgia,31558,30.75034,-81.608505,2557,528000,"Camden, GA",4,2.0,1998.0,0.98,195.0,Single Family,499.8,8/19/22,40.0,False,,,True,2.0,,0.41 Acres,['Dishwasher'],"['Gated', 'Lake', 'Park', 'Street Lights', 'Sidewalks']",,7.666666666666667,3.0,2.8666666666666667,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,38124.0,8124.6,0.0568170454545454,1.0,5.0,6.8,3.25,5.0,0.0,3.0
6,12,2073578187,2226.0,356100.0,2117.0,2.0,3.0,2021.0,107 Ryan Nicholas Drive,Kingsland,Georgia,31548,30.819548,-81.607118,2117,360000,"Camden, GA",3,2.0,2021.0,0.98,161.0,Single Family,3489.78,6/29/22,14.0,True,,"['Tile', 'Carpet']",True,0.0,,"10,018 sqft","['Electric Water Heater', 'Dishwasher', 'Ice Maker', 'Oven/Range (Combo)']","['Clubhouse', 'Pool']",Resale,8.0,3.0,2.766666666666666,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,26712.0,8832.18,0.0496661666666666,4.0,2.0,7.2,3.888888888888889,5.0,0.0,10.0
7,14,91028890,2600.0,432800.0,2628.0,3.0,3.0,1999.0,305 Cumberland Drive,Kingsland,Georgia,31548,30.815933,-81.604103,2928,439900,"Camden, GA",3,2.0,1999.0,0.98,158.0,Single Family,4241.44,7/1/22,10.0,False,['None'],"['Carpet', 'Tile', 'Wood']",True,2.0,True,0.64 Acres,"['Dishwasher', 'Microwave', 'Range']",['Curbs'],,8.0,3.0,2.6666666666666665,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,31200.0,10481.44,0.047098340531939,3.0,1.0,7.2,3.888888888888889,5.0,0.0,10.0
8,16,2067292093,2175.38,341579.0,2246.35,2.82,3.87,2019.52,4634 Lampadoshia Road,Waverly,Georgia,31565,31.018468,-81.559863,1500,545000,"Camden, GA",3,2.0,2021.0,0.98,,Home Type Unknown,3347.4742,,81.0,False,,,False,0.0,,,,,,8.0,3.0,13.333333333333334,1800.0,66.87741935,6.375,32.572,0.0,17.61052632,65.22857143,1.16,4.311111111,0.4,1.936,2.294117647,26104.56,8568.3862,0.0321764656880734,,,,,,,
9,18,76374370,3751.0,603000.0,2224.0,3.0,3.0,1997.0,588 Cmg Place,Woodbine,Georgia,31569,30.856803,-81.643137,2224,599900,"Camden, GA",3,2.0,1997.0,0.98,257.0,Single Family,5909.4,6/10/22,6.0,False,,"['Hardwood', 'Carpet']",True,0.0,,3.11 Acres,"['Electric Water Heater', 'Dryer', 'Washer', 'Water Softener', 'Dishwasher', 'Oven/Range (Combo)', 'Refrigerator']",['None'],Resale,7.333333333333333,3.0,4.133333333333334,4720.0,60.54672489,6.444,30.13278689,0.0,13.68157895,35.2625,1.05,3.466666667,0.569230769,2.120895522,2.685416667,45012.0,14911.8,0.0501753625604267,7.0,1.0,6.0,3.5,2.0,0.0,0.0
